Millis,Year,Month,Day,Hour,Min,TotalOdo,EngineSpeed,GasPedalPos,EngineSts,NeutralSwSts,ACPressure,ThrottlePos,EngineFrictionTorque,EngineTorgue,GasPedalAct,GasPedalGradient,ActualPedalPos,ClutchUpStop,ClutchInterLk,AnalogClutch,EngineWaterTemp,GearShiftIndication,FuelConsumptionGAG,SuggestedGearGSI,ActualGearGSI,EngineOilTemp,BrakePedalSwitchNCSts,BrakePedalSwitchNOSts,OperationModeSts,TurnIndicationSts,KeyInIgnSts,Cmdlgn_FailSts,CmdlgnSts,ExternalTemperature,ExternalTemperatureFailSts,ParkBrakeSts,BatteryChargeSts,ExternalTemperatureAD_Voltage,FuelLevel,InternalLightLevel,FuelLevelFailsSts,InternalLightSts,NotFilteredFuelLevel,BatteryStateOfFunction,CompressorACReqSts,FUEL_VOLT,BrkBstrVac,BrkTrq,BrkTrq_Driver,HSA_BrkPrss,VechileSpeedVSOCSig,CMMInterventionAct,PrefillActive,BrakeInterventionSts,ESCActive,ABSActive,MasterCylinderPressure,VechileSpeedVSOCSigFailSts,BSMShiftInterfernece,BrkPrss_One,BrkPrss_Two,SyncPos,OverSteering,UnderSteering,REF_VEH_SPEED,VehicleStandSts,BrkBstrVac_OBD,batteryVoltageLevelHP,StateOfCharge,VoltageMin,VoltageMax,BatteryCurrentLevel,BatteryTemperature,IBS_V_Batt,IBS_I_Batt,IBS_T_Batt,IBS_I_Range,IBS_SOC,IBS_SOF_Q,IBS_SOC_Accuracy,IBS_SOF_Q_Accuracy,IBS_SOH_Q,IBS_SOF_V,IBS_SOH_Q_Accuracy,IBS_SOF_V_Accuracy,IBS_Q_received,IBS_Q_released,IBS_Tm_Lst_Reset_Sec,IBS_Tm_Lst_Reset_Days,IBS_R_Batt,IBS_R_Batt_25,IBS_SOF_t_Accuracy,IBS_PreWakeupVoltage,IBS_SOF_t,IBS_IBATT_QUIESCENT,IBS_SOF_V1,LHFWheelSpeed,RHFWheelSpeed,LHRWheelSpeed,RHRWheelSpeed,VIN_DATA
3591,2020,1,14,19,3,2621,890,0,2,1,79,212,53,505,0,128,0,0,0,36,75,0,613,15,0,0,1,1,8,0,0,0,4,226,0,1,11,77,72,3,0,0,46,20,1,111,61,743,743,0,0,0,0,0,0,0,124,0,0,239,235,2,0,0,0,0,136,402,99,0,168,3000,64,11295,11295,74,1,99,104,2,2,138,157,0,2,2440,1774,22924,848,94,95,2,1023,246,255,126,0,0,0,0,231713
4091,2020,1,14,19,4,2621,879,0,2,1,80,212,55,505,0,128,0,0,0,33,75,0,604,15,0,0,1,1,8,0,0,0,4,226,0,1,11,77,72,3,0,0,46,20,1,109,59,726,726,0,0,0,0,0,0,0,121,0,0,237,233,2,0,0,0,0,137,402,99,0,168,2970,64,11310,11310,74,1,99,104,2,2,138,157,0,2,2440,1774,22924,848,94,95,2,1023,246,255,126,0,0,0,0,231713
4591,2020,1,14,19,4,2621,876,0,2,1,81,212,55,503,0,128,0,0,0,14,75,0,581,15,0,0,1,1,8,0,0,0,4,226,0,1,11,77,72,3,0,0,46,20,1,110,56,724,724,0,0,0,0,0,0,0,121,0,0,237,233,2,0,0,0,0,139,402,99,0,168,2940,64,11312,11312,74,1,99,104,2,2,138,157,0,2,2440,1774,22925,848,94,96,2,1023,246,255,126,0,0,0,0,231713
5091,2020,1,14,19,4,2621,875,0,2,1,82,212,55,502,0,128,0,0,0,15,75,0,595,15,0,0,1,1,8,0,0,0,4,226,0,1,11,77,72,3,0,0,46,20,1,111,54,724,724,0,0,0,0,0,0,0,121,0,0,237,233,2,0,0,0,0,140,402,99,0,168,2930,64,11315,11315,74,1,99,104,2,2,138,157,0,2,2440,1774,22925,848,94,96,2,1023,246,255,126,0,0,0,0,231713
5591,2020,1,14,19,4,2621,854,0,2,1,83,212,54,505,0,128,0,0,0,15,75,0,586,15,0,0,1,1,8,0,0,0,4,226,0,1,11,77,72,3,0,0,45,20,1,110,53,721,721,0,0,0,0,0,0,0,120,0,0,237,233,2,0,0,0,0,141,402,99,0,168,2910,64,11315,11315,74,1,99,104,2,2,138,157,0,2,2440,1774,22926,848,94,96,2,1023,217,255,126,0,0,0,0,231713
6091,2020,1,14,19,4,2621,856,0,2,1,84,212,55,504,0,128,0,0,0,15,75,0,590,15,0,0,1,1,8,0,0,0,4,226,0,1,11,77,72,3,0,0,46,20,1,111,51,719,719,0,0,0,0,0,0,0,120,0,0,236,233,2,0,0,0,0,143,402,99,0,168,2900,64,11319,11319,74,1,99,104,2,2,138,157,0,2,2440,1774,22926,848,94,96,2,1023,217,255,126,0,0,0,0,231713
6591,2020,1,14,19,4,2621,851,0,2,1,85,212,54,504,0,128,0,0,0,15,75,0,590,15,0,0,1,1,8,0,0,0,4,226,0,1,11,77,72,3,0,0,46,20,1,111,50,719,719,0,0,0,0,0,0,0,120,0,0,236,233,2,0,0,0,0,143,403,99,0,168,2880,64,11333,11333,74,1,99,104,2,2,138,157,0,2,2440,1774,22926,848,95,96,2,1023,217,255,126,0,0,0,0,231713
7091,2020,1,14,19,4,2621,849,0,2,1,86,212,54,505,0,128,0,0,0,15,75,0,600,15,0,0,1,1,8,0,0,0,4,226,0,1,11,77,72,3,0,0,45,20,1,110,49,717,717,0,0,0,0,0,0,0,119,0,0,236,233,2,0,0,0,0,144,402,99,0,168,2880,64,11322,11322,74,1,99,104,2,2,138,156,0,2,2440,1774,22926,848,95,96,2,1023,217,255,126,0,0,0,0,231713
7591,2020,1,14,19,4,2621,844,0,2,1,88,212,54,507,0,128,0,0,0,12,75,0,609,15,0,0,1,1,8,0,0,0,4,226,0,1,11,77,72,3,0,0,46,20,1,109,48,717,717,0,0,0,0,0,0,0,119,0,0,236,233,2,0,0,0,0,145,402,99,0,168,2860,64,11325,11325,74,1,99,104,2,2,138,156,0,2,2440,1774,22926,848,95,96,2,1023,217,255,126,0,0,0,0,231713
8091,2020,1,14,19,4,2621,843,0,2,1,92,212,54,507,0,128,0,0,0,12,75,0,613,15,0,0,1,1,8,0,0,0,4,226,0,1,11,77,72,3,0,0,45,20,1,110,47,716,717,0,0,0,0,0,0,0,119,0,0,236,233,2,0,0,0,0,146,403,99,0,168,2860,64,11336,11336,74,1,99,104,2,2,138,156,0,2,2440,1774,22926,848,95,96,2,1023,217,255,126,0,0,0,0,231713
8591,2020,1,14,19,4,2621,845,0,2,1,96,212,54,508,0,128,0,0,0,13,75,0,627,15,0,0,1,1,8,0,0,0,4,226,0,1,11,77,72,3,0,0,46,19,1,110,46,716,717,0,0,0,0,0,0,0,119,0,0,236,233,2,0,0,0,0,146,403,99,0,168,2850,64,11345,11345,74,1,99,104,2,2,138,156,0,2,2440,1774,22927,848,95,97,2,1023,217,255,126,0,0,0,0,231713
9091,2020,1,14,19,4,2621,846,0,2,1,100,212,54,509,0,128,0,0,0,14,75,0,640,15,0,0,1,1,8,0,0,0,4,226,0,1,11,77,72,3,0,0,45,19,1,109,46,714,714,0,0,0,0,0,0,0,119,0,0,236,232,2,0,0,0,0,147,403,99,0,168,2830,64,11350,11350,74,1,99,104,2,2,138,156,0,2,2440,1774,22927,848,95,97,2,1023,217,255,126,0,0,0,0,231713
9591,2020,1,14,19,4,2621,846,0,2,1,103,212,54,510,0,128,0,0,0,14,75,0,645,15,0,0,1,1,8,0,0,0,4,226,0,1,11,77,72,3,0,0,45,19,1,109,46,704,705,0,0,0,0,0,0,0,117,0,0,235,231,2,0,0,0,0,147,403,99,0,168,2820,64,11343,11343,74,1,99,104,2,2,138,156,0,2,2440,1774,22928,848,95,97,2,1023,217,255,125,0,0,0,0,231713
10091,2020,1,14,19,4,2621,849,0,2,1,108,212,55,509,0,128,0,0,0,15,74,0,640,15,0,0,1,1,8,0,0,0,4,226,0,1,11,77,72,3,0,0,45,19,1,110,45,702,702,0,0,0,0,0,0,0,117,0,0,235,231,2,0,0,0,0,147,403,99,0,168,2810,64,11335,11335,74,1,99,104,2,2,138,156,0,2,2440,1774,22928,848,95,97,2,1023,217,255,125,0,0,0,0,231713
10591,2020,1,14,19,4,2621,845,0,2,1,114,212,54,510,0,128,0,0,0,15,74,0,645,15,0,0,1,1,8,0,0,0,4,226,0,1,11,77,72,3,0,0,45,19,1,110,44,699,698,0,0,0,0,0,0,0,116,0,0,234,231,2,0,0,0,0,147,403,99,0,168,2810,64,11345,11345,74,1,99,104,2,2,138,156,0,2,2440,1774,22928,848,96,97,2,1023,222,255,125,0,0,0,0,231713
11091,2020,1,14,19,4,2621,847,0,2,1,118,212,54,510,0,128,0,0,0,15,74,0,645,15,0,0,1,1,8,0,0,0,4,226,0,1,11,77,72,3,0,0,45,19,1,110,45,688,686,0,0,0,0,0,0,0,114,0,0,233,229,2,0,0,0,0,147,403,99,0,168,2800,64,11348,11348,74,1,99,104,2,2,138,156,0,2,2440,1774,22928,848,96,97,2,1023,222,255,125,0,0,0,0,231713
11591,2020,1,14,19,4,2621,847,0,2,1,122,212,55,511,0,128,0,0,0,15,74,0,659,15,0,0,1,1,8,0,0,0,4,226,0,1,11,77,72,3,0,0,46,19,1,110,44,645,645,0,0,0,0,0,0,0,107,0,0,228,225,2,0,0,0,0,147,403,99,0,168,2790,64,11342,11342,74,1,99,104,2,2,138,156,0,2,2440,1774,22928,848,96,97,2,1023,222,255,125,0,0,0,0,231713
12091,2020,1,14,19,4,2621,847,0,2,1,125,212,55,512,0,128,0,0,0,15,74,0,663,15,0,0,1,1,8,0,0,0,4,226,0,1,11,77,72,3,0,0,46,19,1,111,44,640,640,0,0,0,0,0,0,0,107,0,0,228,224,2,0,0,0,0,148,403,99,0,168,2800,64,11337,11337,74,1,99,104,2,2,138,156,0,2,2440,1774,22928,848,96,97,2,1023,222,255,125,0,0,0,0,231713
12591,2020,1,14,19,4,2621,855,0,2,1,128,212,55,510,0,128,0,0,0,15,74,0,654,15,0,0,1,1,8,0,0,0,4,226,0,1,11,77,72,3,0,0,47,19,1,110,44,636,635,0,0,0,0,0,0,0,106,0,0,227,223,2,0,0,0,0,148,403,99,0,168,2780,64,11341,11341,74,1,99,104,2,2,138,156,0,2,2440,1774,22929,848,96,97,2,1023,222,255,125,0,0,0,0,231713
13091,2020,1,14,19,4,2621,851,0,2,1,130,212,55,510,0,128,0,0,0,16,74,0,650,15,0,0,1,1,8,0,0,0,4,226,0,1,11,77,72,3,0,0,45,19,1,109,43,633,633,0,0,0,0,0,0,0,105,0,0,227,223,2,0,0,0,0,148,403,99,0,168,2770,64,11347,11347,74,1,99,104,2,2,138,156,0,2,2440,1774,22929,848,96,97,2,1023,222,255,125,0,0,0,0,231713
13591,2020,1,14,19,4,2621,852,0,2,1,132,212,54,510,0,128,0,0,0,16,74,0,654,15,0,0,1,1,8,0,0,0,4,226,0,1,11,77,72,3,0,0,46,19,1,110,43,633,633,0,0,0,0,0,0,0,105,0,0,227,223,2,0,0,0,0,149,403,99,0,168,2760,64,11353,11353,74,1,99,104,2,2,138,156,0,2,2440,1774,22930,848,96,97,2,1023,222,255,125,0,0,0,0,231713
14091,2020,1,14,19,4,2621,853,0,2,1,134,212,56,510,0,128,0,0,0,16,74,0,663,15,0,0,1,1,8,0,0,0,4,226,0,1,11,77,72,3,0,0,46,19,1,111,42,633,633,0,0,0,0,0,0,0,105,0,0,227,223,2,0,0,0,0,149,403,99,0,168,2760,64,11337,11337,74,1,99,104,2,2,138,156,0,2,2440,1774,22930,848,96,97,2,1023,222,255,125,0,0,0,0,231713
14591,2020,1,14,19,4,2621,853,0,2,1,136,212,55,509,0,128,0,0,0,16,74,0,645,15,0,0,1,1,8,0,0,0,4,226,0,1,11,77,72,3,0,0,45,19,1,109,42,633,633,0,0,0,0,0,0,0,105,0,0,227,223,2,0,0,0,0,149,404,99,0,168,2760,64,11366,11366,74,1,99,104,2,2,138,156,0,2,2440,1774,22930,848,96,97,2,1023,228,255,125,0,0,0,0,231713
15091,2020,1,14,19,4,2621,846,0,2,1,138,212,55,510,0,128,0,0,0,16,74,0,645,15,0,0,1,1,8,0,0,0,4,226,0,1,11,77,72,3,0,0,47,19,1,111,41,634,633,0,0,0,0,0,0,0,105,0,0,227,223,2,0,0,0,0,150,404,99,0,168,2750,64,11369,11369,74,1,99,104,2,2,138,156,0,2,2440,1774,22930,848,96,97,2,1023,228,255,125,0,0,0,0,231713
15591,2020,1,14,19,4,2621,849,0,2,1,137,212,54,510,0,128,0,0,0,21,74,0,645,15,0,0,1,1,8,0,0,0,4,226,0,1,11,77,72,3,0,0,45,19,1,110,41,634,633,0,0,0,0,0,0,0,105,0,0,227,223,2,0,0,0,0,150,404,99,0,168,2750,64,11357,11357,74,1,99,104,2,2,138,156,0,2,2441,1774,22930,848,96,97,2,1023,228,255,125,0,0,0,0,231713
16091,2020,1,14,19,4,2621,849,0,2,1,136,212,54,511,0,128,0,1,0,119,74,0,650,15,0,0,1,1,8,0,0,0,4,226,0,1,11,77,72,3,0,0,45,19,1,111,41,636,635,0,0,0,0,0,0,0,106,0,0,227,223,2,0,0,0,0,150,404,99,0,168,2740,64,11356,11356,74,1,99,104,2,2,138,156,0,2,2441,1774,22930,848,96,97,2,1023,228,255,125,0,0,0,0,231713
16591,2020,1,14,19,4,2621,851,0,2,0,133,212,55,510,0,128,0,1,0,194,74,0,645,15,15,0,1,1,8,0,0,0,4,226,0,1,11,77,72,3,0,0,46,19,1,109,43,552,551,0,0,0,0,0,0,0,92,0,0,218,214,2,0,0,0,0,149,404,99,0,168,2730,64,11354,11354,74,1,99,104,2,2,138,156,0,2,2441,1774,22931,848,96,97,2,1023,228,255,125,0,0,0,0,231713
17091,2020,1,14,19,4,2621,854,0,2,0,130,212,55,509,0,128,0,1,0,180,75,0,636,15,15,0,1,1,8,0,0,0,4,226,0,1,11,77,72,3,0,0,46,19,1,109,42,562,563,0,0,0,0,0,0,0,94,0,0,219,216,2,0,0,0,0,149,404,99,0,168,2730,64,11365,11365,74,1,99,104,2,2,138,156,0,2,2441,1774,22931,848,96,97,2,1023,228,255,125,0,0,0,0,231713
17591,2020,1,14,19,4,2621,847,0,2,0,127,212,55,510,0,128,0,1,0,170,75,0,636,15,15,0,1,1,8,0,0,0,4,226,0,1,11,77,72,3,0,0,46,19,1,110,42,566,566,0,0,0,0,0,0,0,94,0,0,219,216,2,0,0,0,0,149,403,99,0,168,2720,64,11348,11348,74,1,99,104,2,2,138,156,0,2,2441,1774,22932,848,96,97,2,1023,228,255,125,0,0,0,0,231713
18091,2020,1,14,19,4,2621,843,0,2,0,124,212,56,512,0,128,0,1,0,168,75,0,686,15,15,0,1,1,8,0,0,0,4,226,0,1,11,77,72,3,0,0,45,19,1,109,41,722,721,0,0,0,0,0,0,0,120,0,0,237,233,2,0,0,0,0,150,402,99,0,168,2710,64,11323,11323,74,1,99,104,2,2,138,156,0,2,2441,1774,22932,848,96,97,2,1023,228,255,125,0,0,0,0,231713
18591,2020,1,14,19,4,2621,846,0,2,0,122,212,55,512,0,128,0,1,0,167,75,0,668,15,15,0,1,1,8,0,0,0,4,226,0,1,11,77,72,3,0,0,45,19,1,113,41,712,712,0,0,0,0,0,0,0,119,0,0,236,232,2,0,0,0,0,150,404,99,0,168,2720,64,11359,11359,74,1,99,105,2,2,138,156,0,2,2441,1774,22932,848,96,97,2,1023,228,255,125,0,0,0,0,231713
19091,2020,1,14,19,4,2621,849,0,2,0,120,212,54,511,0,128,0,1,0,167,75,0,659,15,15,0,1,1,8,0,0,0,4,226,0,0,11,77,72,3,0,0,47,19,1,110,41,709,709,0,0,0,0,0,0,0,118,0,0,235,232,2,0,0,0,0,150,404,99,0,168,2720,64,11371,11371,74,1,99,105,2,2,138,156,0,2,2441,1774,22932,848,96,97,2,1023,228,255,125,0,0,0,0,231713
19591,2020,1,14,19,4,2621,839,0,2,0,119,212,54,514,0,128,0,1,0,163,75,0,668,15,15,0,1,1,8,0,0,0,4,226,0,0,11,77,72,3,0,0,45,19,1,110,40,709,709,0,0,0,0,0,0,0,118,0,0,235,232,2,0,0,0,0,150,404,99,0,168,2710,64,11355,11355,74,1,99,105,2,2,138,156,0,2,2441,1774,22933,848,96,98,2,1023,233,255,125,0,0,0,0,231713
20091,2020,1,14,19,4,2621,839,0,2,0,120,212,53,516,0,128,0,1,0,159,75,0,695,15,15,0,1,1,8,0,0,0,4,226,0,0,11,77,72,3,0,0,45,19,1,109,40,706,705,0,0,0,0,0,0,0,117,0,0,235,231,2,0,0,0,0,150,403,99,0,168,2700,64,11351,11351,74,1,99,105,2,2,138,156,0,2,2441,1774,22933,848,96,98,2,1023,233,255,125,0,0,0,0,231713
20591,2020,1,14,19,4,2621,685,0,2,0,120,18,55,584,0,128,0,1,0,141,75,0,1040,15,15,0,1,1,8,0,0,0,4,226,0,0,11,77,72,3,0,0,45,19,1,111,52,113,0,0,0,0,0,0,0,0,10,0,0,165,161,2,0,0,0,0,142,403,99,0,168,2680,64,11347,11347,74,1,99,105,2,2,138,156,0,2,2441,1774,22933,848,96,98,2,1023,233,255,125,0,0,0,0,231713
21091,2020,1,14,19,4,2621,967,0,2,0,121,190,53,515,0,128,0,1,0,163,75,0,818,15,15,0,1,1,8,0,0,0,4,226,0,0,11,77,72,3,0,0,51,19,1,110,51,622,621,5,0,0,0,0,0,0,103,0,0,226,222,2,0,0,0,1,143,405,99,0,168,2710,64,11392,11392,74,1,99,105,2,2,138,156,0,2,2441,1774,22933,848,96,98,2,1023,233,255,125,0,0,0,0,231713
21591,2020,1,14,19,4,2621,938,0,2,0,121,208,52,515,0,128,0,1,0,169,75,0,718,15,15,0,1,1,8,0,0,0,4,226,0,0,11,77,72,3,0,0,48,19,1,110,49,625,626,0,0,0,0,0,0,0,104,0,0,226,222,2,0,0,0,0,144,404,99,0,168,2690,64,11368,11368,74,1,99,105,2,2,138,156,0,2,2441,1774,22934,848,96,98,2,1023,233,255,125,0,0,0,0,231713
22091,2020,1,14,19,4,2621,924,0,2,0,121,209,52,514,0,128,0,1,0,166,75,0,709,15,15,0,1,1,8,0,0,0,4,226,0,0,11,77,72,3,0,0,40,19,1,104,47,631,630,0,0,0,0,0,0,0,105,0,0,227,223,2,0,0,0,0,145,405,99,0,168,2690,64,11387,11387,74,1,99,105,2,2,138,156,0,2,2441,1774,22934,848,96,98,2,1023,233,255,125,0,0,0,0,231713
22591,2020,1,14,19,4,2621,892,0,2,0,122,212,52,517,0,128,0,1,0,163,75,0,722,15,15,0,1,1,8,0,0,0,4,226,0,0,11,77,72,3,0,0,40,19,1,116,53,409,365,0,0,0,0,0,0,0,61,0,0,200,196,2,0,0,0,0,141,405,99,0,168,2690,64,11386,11386,74,1,99,105,2,2,138,156,0,2,2441,1774,22934,848,96,98,2,1023,233,255,125,0,0,0,0,231713
23092,2020,1,14,19,4,2621,889,0,2,0,122,212,52,519,0,128,0,1,0,159,75,0,745,15,15,0,0,0,8,0,0,0,4,226,0,0,11,77,72,3,0,0,47,19,1,109,58,10,0,0,0,0,0,0,0,0,0,0,0,157,153,2,0,0,0,0,138,405,99,0,168,2700,64,11398,11398,74,1,99,105,2,2,138,156,0,2,2441,1774,22934,848,96,98,2,1023,233,255,125,0,0,0,0,231713
23592,2020,1,14,19,4,2621,817,0,2,0,123,213,53,539,0,128,0,1,0,152,75,0,831,15,15,0,0,0,8,0,0,0,4,226,0,0,11,77,72,3,0,0,54,19,1,118,55,0,0,5,0,0,0,0,0,0,0,0,0,157,153,2,0,0,0,1,140,404,99,0,168,2670,64,11374,11374,74,1,99,105,2,2,138,156,0,2,2441,1774,22935,848,96,98,2,1023,233,255,125,0,0,0,0,231713
24092,2020,1,14,19,4,2621,831,0,2,0,124,205,53,537,0,128,0,1,0,151,75,0,831,15,15,0,0,0,8,0,0,0,4,226,0,0,11,77,72,3,0,0,41,19,1,118,53,0,0,5,28,0,0,0,0,0,1,0,0,158,154,2,0,0,3,1,141,405,99,0,168,2680,64,11387,11387,74,1,99,105,2,2,138,156,0,2,2441,1774,22935,848,96,98,2,1023,233,255,125,29,27,29,27,231713
24592,2020,1,14,19,4,2621,838,0,2,0,125,205,53,537,0,128,0,1,0,152,75,0,845,15,15,0,0,1,8,0,0,0,4,226,0,0,11,77,72,3,0,0,57,19,1,112,51,0,0,5,46,0,0,0,0,0,2,0,0,158,155,2,0,0,5,1,143,405,99,0,168,2680,64,11391,11391,74,1,99,105,2,2,138,156,0,2,2441,1774,22935,848,96,98,2,1023,239,255,125,49,44,48,43,231713
25092,2020,1,14,19,4,2621,825,0,2,0,126,205,53,541,0,128,0,1,0,149,75,0,863,15,15,0,0,1,8,0,0,0,4,226,0,0,11,77,72,3,0,0,47,19,1,107,50,0,0,5,63,0,0,0,0,0,3,0,0,160,156,2,0,0,7,1,144,405,99,0,168,2660,64,11373,11373,74,1,99,105,2,2,138,156,0,2,2441,1774,22935,848,96,98,2,1023,239,255,125,67,60,66,58,231713
25592,2020,1,14,19,4,2621,807,0,2,0,126,202,53,554,0,128,0,1,0,144,75,0,950,15,15,0,0,1,8,0,0,0,4,226,0,0,11,77,72,3,0,0,46,19,1,116,48,29,0,5,84,0,0,0,0,0,5,0,0,161,157,2,0,0,10,1,145,405,99,0,168,2670,64,11384,11384,74,1,99,105,2,2,138,156,0,2,2441,1774,22936,848,96,98,2,1023,239,255,125,91,77,87,73,231713
